Date,Weight
3/1/1994,2000.10
4/1/1994,1711.20
5/1/1994,1802.70
6/1/1994,1717.30
7/1/1994,1802.40
8/1/1994,1898.30
9/1/1994,1798.30
10/1/1994,1915.10
11/1/1994,1642.70
12/1/1994,1546.10
1/1/1995,1919.10
2/1/1995,2000.80
3/1/1995,2170.20
4/1/1995,1864.90
5/1/1995,1916.90
6/1/1995,1863.10
7/1/1995,1815.70
8/1/1995,2018.70
9/1/1995,1866.00
10/1/1995,1992.00
11/1/1995,1668.00
12/1/1995,1601.80
1/1/1996,2032.20
2/1/1996,2061.30
3/1/1996,2270.40
4/1/1996,2027.60
5/1/1996,2066.90
6/1/1996,1807.40
7/1/1996,1871.90
8/1/1996,2021.70
9/1/1996,1964.20
10/1/1996,2084.20
11/1/1996,1820.40
12/1/1996,1689.80
1/1/1997,2074.60
2/1/1997,2305.80
3/1/1997,2462.40
4/1/1997,2215.40
5/1/1997,2244.40
6/1/1997,2147.10
7/1/1997,2186.60
8/1/1997,2254.80
9/1/1997,2151.80
10/1/1997,2340.80
11/1/1997,1964.50
12/1/1997,1827.80
1/1/1998,2357.60
2/1/1998,2665.00
3/1/1998,2620.70
4/1/1998,2319.50
5/1/1998,2296.00
6/1/1998,2300.20
7/1/1998,2297.30
8/1/1998,2408.90
9/1/1998,2280.50
10/1/1998,2324.10
11/1/1998,2158.10
12/1/1998,2111.90
1/1/1999,2310.70
2/1/1999,2578.00
3/1/1999,2854.40
4/1/1999,2348.80
5/1/1999,2396.40
6/1/1999,2372.00
7/1/1999,2506.90
8/1/1999,2461.80
9/1/1999,2443.00
10/1/1999,2522.90
11/1/1999,2234.40
12/1/1999,2237.20
1/1/2000,2541.20
2/1/2000,2535.40
3/1/2000,2916.10
4/1/2000,2492.40
5/1/2000,2476.30
6/1/2000,2534.20
7/1/2000,2491.10
8/1/2000,2584.70
9/1/2000,2374.30
10/1/2000,2503.60
11/1/2000,2191.10
12/1/2000,2075.20
1/1/2001,2450.70
2/1/2001,2596.80
3/1/2001,2875.20
4/1/2001,2516.70
5/1/2001,2472.80
6/1/2001,2369.00
7/1/2001,2481.60
8/1/2001,2600.40
9/1/2001,2421.00
10/1/2001,2508.30
11/1/2001,2180.70
12/1/2001,2163.50
1/1/2002,2717.30
2/1/2002,2930.80
3/1/2002,2864.50
4/1/2002,2502.30
5/1/2002,2726.10
6/1/2002,2467.00
7/1/2002,2644.10
8/1/2002,2796.10
9/1/2002,2649.80
10/1/2002,2780.00
11/1/2002,2393.90
12/1/2002,2293.00
1/1/2003,2758.40
2/1/2003,2758.60
3/1/2003,3048.50
4/1/2003,2613.50
5/1/2003,2737.00
6/1/2003,2548.70
7/1/2003,2642.70
8/1/2003,2767.20
9/1/2003,2685.30
10/1/2003,2787.50
11/1/2003,2341.60
12/1/2003,2248.20
1/1/2004,2714.00
2/1/2004,2852.60
3/1/2004,2884.50
4/1/2004,2503.30
5/1/2004,2476.40
6/1/2004,2489.60
7/1/2004,2462.30
8/1/2004,2653.80
9/1/2004,2467.40
10/1/2004,2586.30
11/1/2004,2315.60
12/1/2004,2272.10
1/1/2005,2620.40
2/1/2005,2652.60
3/1/2005,2747.30
4/1/2005,2453.60
5/1/2005,2576.40
6/1/2005,2515.40
7/1/2005,2372.90
8/1/2005,2533.60
9/1/2005,2464.90
10/1/2005,2590.40
11/1/2005,2286.80
12/1/2005,2182.50
1/1/2006,2695.50
2/1/2006,2734.90
3/1/2006,2936.70
4/1/2006,2407.10
5/1/2006,2317.30
6/1/2006,2174.00
7/1/2006,2205.60
8/1/2006,2392.30
9/1/2006,2218.90
10/1/2006,2245.80
11/1/2006,1947.60
12/1/2006,2105.60
1/1/2007,2284.20
2/1/2007,2294.30
3/1/2007,2344.50
4/1/2007,1917.60
5/1/2007,2205.80
6/1/2007,1945.10
7/1/2007,2037.80
8/1/2007,2177.80
9/1/2007,2043.10
10/1/2007,2248.60
11/1/2007,1888.90
12/1/2007,1857.40
1/1/2008,2465.80
2/1/2008,2499.70
3/1/2008,2398.70
4/1/2008,2119.90
5/1/2008,2120.50
6/1/2008,2155.30
7/1/2008,2116.60
8/1/2008,2072.00
9/1/2008,1806.70
10/1/2008,2112.10
11/1/2008,1661.70
12/1/2008,1591.70
1/1/2009,1926.20
2/1/2009,2065.80
3/1/2009,2266.00
4/1/2009,2014.70
5/1/2009,1881.80
6/1/2009,1901.70
7/1/2009,1945.10
8/1/2009,1850.20
9/1/2009,1889.30
10/1/2009,1948.00
11/1/2009,1574.30
12/1/2009,1655.40
1/1/2010,1946.50
2/1/2010,2261.70
3/1/2010,2243.80
4/1/2010,1851.10
5/1/2010,1914.20
6/1/2010,1906.30
7/1/2010,1800.60
8/1/2010,2038.60
9/1/2010,2028.00
10/1/2010,1889.40
11/1/2010,1594.10
12/1/2010,1685.10
1/1/2011,1820.40
2/1/2011,1556.40
3/1/2011,1798.40
4/1/2011,1397.90
5/1/2011,1259.10
6/1/2011,1240.80
7/1/2011,1277.90
8/1/2011,1423.30
9/1/2011,1341.00
10/1/2011,1289.30
11/1/2011,1184.30
12/1/2011,1132.10
1/1/2012,1342.70
2/1/2012,1444.70
3/1/2012,1471.70
4/1/2012,1199.80
5/1/2012,1337.90
6/1/2012,1246.30
7/1/2012,1327.60
8/1/2012,1444.20
9/1/2012,1342.20
10/1/2012,1379.50
11/1/2012,1335.20
12/1/2012,1271.60
